"","X","spp","Total","Infected"
"3547",3547,"Sciapusplatypterus",1,1
"3548",3548,"Sciapuswiedemanni",1,0
"3549",3549,"Sciapuszonatulus",1,1
"3550",3550,"Scirpophagaincertulas",20,2
"3551",3551,"Scirtothripsperseae",1,1
"3552",3552,"Scolopsfumida",1,0
"3553",3553,"Scotinopharacoarctata",18,5
"3554",3554,"Scotinopharahorvathi",1,0
"3555",3555,"Scotinopharainermiceps",1,0
"3556",3556,"Scotinopharalurida",1,1
"3557",3557,"Scotinopharascotti",1,0
"3558",3558,"Scudderiafurcata",1,0
"3559",3559,"Scutelleranobilis",1,0
"3560",3560,"Scymnusfrontalis",24,0
"3561",3561,"Scymnussp.",1,0
"3562",3562,"Semiaphisdauci",1,0
"3563",3563,"Semiotusinsignis",1,0
"3564",3564,"Semiotusliqneus",1,0
"3565",3565,"Sericasp.",1,0
"3566",3566,"Sesamiacalamistis",22,0
"3567",3567,"Sesamiainferens",4,0
"3568",3568,"Sigaralateralis",12,12
"3569",3569,"Silometopusambiguus",2,1
"3570",3570,"Silometopuselegans",2,1
"3571",3571,"Simuliumornatum",12,0
"3572",3572,"Siphamaydis",1,1
"3573",3573,"Siphantaacuta",1,0
"3574",3574,"Siphasp.",1,0
"3575",3575,"Siphasp.",1,0
"3576",3576,"Siphasp.",1,0
"3577",3577,"Siphoninusphillyreae",20,3
"3578",3578,"Siphoninusphillyreae",20,4
"3579",3579,"Siphoninusphillyreae",20,14
"3580",3580,"Siphoninusphillyreae",20,8
"3581",3581,"Siphoninusphillyreae",20,10
"3582",3582,"Siphoninusphillyreae",20,8
"3583",3583,"Siphoninusphillyreae",20,11
"3584",3584,"Siphoninusphillyreae",20,4
"3585",3585,"Siphoninusphillyreae",20,8
"3586",3586,"Sitobionavenae",2,0
"3587",3587,"Sitobionfragariae",2,0
"3588",3588,"Sitobionmiscanthi",30,30
"3589",3589,"Sitobionmiscanthi",30,30
"3590",3590,"Sitobionmiscanthi",30,30
"3591",3591,"Sitobionmiscanthi",30,30
"3592",3592,"Sitobionmiscanthi",30,30
"3593",3593,"Sitobionmiscanthi",30,30
"3594",3594,"Sitophilusgranarius",1,0
"3595",3595,"Sitophilusoryzae",1,1
"3596",3596,"Sitophilusoryzae",1,0
"3597",3597,"Sitophilusoryzae",1,0
"3598",3598,"Sitophiluszeamais",1,1
"3599",3599,"Sitophiluszeamais",1,0
"3600",3600,"Sitophiluszeamais",1,0
"3601",3601,"Sitotrogacerealella",1,1
"3602",3602,"Smynthurodesbetae",1,0
"3603",3603,"Sogatellafurcifera",275,90
"3604",3604,"Sogatellakolophon",1,0
"3605",3605,"Solenopotescapillatus",1,0
"3606",3606,"Solenopsisgeminata",5,1
"3607",3607,"Solenopsisinvicta",132,79
"3608",3608,"Solenopsisrichteri",20,15
"3609",3609,"Solenopsissp.",2,1
"3610",3610,"Solenosthediumchinense",1,0
"3611",3611,"Spaethiellasp.",1,0
"3612",3612,"Spaziphoracincta",1,0
"3613",3613,"Spaziphorahydromyzina",1,0
"3614",3614,"Speyeriacybele",1,0
"3615",3615,"Speyeriadiana",1,1
"3616",3616,"Speyeriaidalia",1,1
"3617",3617,"Speyeriaidalia",1,1
"3618",3618,"Speyeriaidalia",1,1
"3619",3619,"Speyeriazerene",66,2
"3620",3620,"Sphaerogastrellanovoguinensis",2,0
"3621",3621,"Sphaeromahookeri",1,1
"3622",3622,"Sphaeromarugicauda",5,3
"3623",3623,"Sphaeromaserratum",7,0
"3624",3624,"Sphaeromatessieri",2,0
"3625",3625,"Sphecodessp.",1,1
"3626",3626,"Sphedanolestesimpressicollis",1,0
"3627",3627,"Sphinctopsyllaares",1,1
"3628",3628,"Sphyrotarsusargyrostomus",1,0
"3629",3629,"Spilosomaobliqua",1,0
"3630",3630,"Spilosomaobliqua",1,0
"3631",3631,"Spilosomavirginica",1,0
"3632",3632,"Spilostethushospes",4,1
"3633",3633,"Spissistilusfestinus",1,1
"3634",3634,"Spodopteraexempta",28,3
"3635",3635,"Spodopteraexigua",1,0
"3636",3636,"Spodopteralitura",1,0
"3637",3637,"Spodopteralitura",1,0
"3638",3638,"Stalachtiscalliope",1,0
"3639",3639,"Staticobiumlimonii",1,0
"3640",3640,"Staticobiumlimonii",1,0
"3641",3641,"Stegobiumpaniceum",1,1
"3642",3642,"Stegotessp.",1,0
"3643",3643,"Stemonyphanteslineatus",1,1
"3644",3644,"Stenchaetothripsbiformis",1,0
"3645",3645,"Stenobothruslineatus",10,10
"3646",3646,"Stenocranusakashiensis",1,1
"3647",3647,"Stenocranusharimensis",1,1
"3648",3648,"Stenocranusmatsumurai",1,1
"3649",3649,"Stenocranusmatsumurai",1,1
"3650",3650,"Stenocranustakasagonis",1,1
"3651",3651,"Stenocranustamagawanus",1,0
"3652",3652,"Stenodemacalcarata",1,0
"3653",3653,"Stenopterussp.",20,0
"3654",3654,"Stenotarsusrotundus",2,0
"3655",3655,"Stephanitispyrioides",5,3
"3656",3656,"Stheniasgrisator",1,0
"3657",3657,"Stichotremasp.",1,0
"3658",3658,"Stictopleuruspunctatonervosus",3,3
"3659",3659,"Stilpongraminum",1,0
"3660",3660,"Stirellussp.",6,2
"3661",3661,"Stolidosomasp.",1,0
"3662",3662,"Stomoxyscalcitrans",11,0
"3663",3663,"Strophosomacapitatum",1,1
"3664",3664,"Strophosomafaber",1,0
"3665",3665,"Strophosomamelanogrammum",1,1
"3666",3666,"Strymonmelinus",1,0
"3667",3667,"Strymonmelinus",1,0
"3668",3668,"Subcoccinellavigintiquatuorpunctata",86,0
"3669",3669,"Submeralatifrons",7,0
"3670",3670,"Sunianasunias",1,1
"3671",3671,"Swezielliatergoprolixa",1,0
"3672",3672,"Sybistromacrinipes",1,0
"3673",3673,"Sybistromadiscipes",1,0
"3674",3674,"Sybistromanodicornis",1,0
"3675",3675,"Sybistromaobscurellum",1,0
"3676",3676,"Sybistromaobscurellum",1,0
"3677",3677,"Sycanuscollaris",1,0
"3678",3678,"Sycobiasp.",1,0
"3679",3679,"Sycobiasp.",1,0
"3680",3680,"Sycoecinesp.",10,0
"3681",3681,"Sycoecinesp.",10,8
"3682",3682,"Sycophilaisis",1,0
"3683",3683,"Sycoryctestrifemmensis",7,0
"3684",3684,"Sycoscaptersp.",5,5
"3685",3685,"Sycoscaptersp.",5,5
"3686",3686,"Sycoscaptertrifemmensis",7,0
"3687",3687,"Symboliacostaricensis",1,0
"3688",3688,"Sympiesisgordius",1,0
"3689",3689,"Sympiesissericeicornis",3,0
"3690",3690,"Sympycnusaeneicoxa",1,0
"3691",3691,"Sympycnuscirripes",1,1
"3692",3692,"Sympycnusdesoutteri",1,0
"3693",3693,"Sympycnusdesoutteri",1,1
"3694",3694,"Sympycnussp.",13,0
"3695",3695,"Synedoidasp.",1,0
"3696",3696,"Synemonphaeoptila",1,0
"3697",3697,"Synerguscrassicornis",3,3
"3698",3698,"Synergusdiaphanus",1,1
"3699",3699,"Synergusgallaepomiformis",34,29
"3700",3700,"Synergushayneanus",5,0
"3701",3701,"Synergusincrassatus",1,0
"3702",3702,"Synergusreinhardi",12,1
"3703",3703,"Synergusumbraculus",3,1
"3704",3704,"Synophruspolitus",23,0
"3705",3705,"Syntormonbicolorellum",1,0
"3706",3706,"Syntormondenticulatum",1,0
"3707",3707,"Syntormondenticulatum",1,0
"3708",3708,"Syntormonpallipes",1,0
"3709",3709,"Syntormonpumilum",1,1
"3710",3710,"Syntormonsulcipes",1,0
"3711",3711,"Syntormonzelleri",1,0
"3712",3712,"Syrittarufifacies",2,0
"3713",3713,"Syrphophagoussp.",1,0
"3714",3714,"Systenusleucurus",1,1
"3715",3715,"Tabanusbovinus",14,0
"3716",3716,"Tabanusbromius",9,0
"3717",3717,"Tabanusquatuornotatus",6,0
"3718",3718,"Tabanussp.",1,0
"3719",3719,"Tabanustergestinus",8,0
"3720",3720,"Tachydromiaannulimana",1,1
"3721",3721,"Tachypezanubila",1,1
"3722",3722,"Tachytrechusangustipennis",1,0
"3723",3723,"Tachytrechusnotatus",1,0
"3724",3724,"Tachytrechussp.",1,0
"3725",3725,"Tachytrechussp.",1,0
"3726",3726,"Tachytrechussp.",1,1
"3727",3727,"Tachytrechustransitorius",1,0
"3728",3728,"Tagosodespusanus",1,0
"3729",3729,"Takecallissp.",1,0
"3730",3730,"Talicadanyseus",60,30
"3731",3731,"Tambourellaendiandrae",1,0
"3732",3732,"Tanaeciajulii",1,0
"3733",3733,"Tapinaspiswesmaeli",1,0
"3734",3734,"Taractroceraceramus",2,1
"3735",3735,"Tarucusnara",1,1
"3736",3736,"Taxilahaquinus",1,0
"3737",3737,"Tegenariaduellica",4,1
"3738",3738,"Teinopalpusimperialis",1,0
"3739",3739,"Telenomusrowani",1,0
"3740",3740,"Teleogryllussp.",1,1
"3741",3741,"Telicotaancilla",1,0
"3742",3742,"Tellervozoilus",1,0
"3743",3743,"Temeluchaphilippinensis",13,4
"3744",3744,"Temeluchastangli",1,0
"3745",3745,"Temnochilasp.",1,0
"3746",3746,"Tenebriomolitor",12,0
"3747",3747,"Tenebroidesmauritanicus",1,0
"3748",3748,"Tenoderasinensis",1,0
"3749",3749,"Terauchianasingularis",1,0
"3750",3750,"Teriashecabe",1,1
"3751",3751,"Tetragnathamontana",20,5
"3752",3752,"Tetragnathapraedonia",30,0
"3753",3753,"Tetragnathasp.",1,0
"3754",3754,"Tetragnathasquamata",30,0
"3755",3755,"Tetragnathavermiformis",20,0
"3756",3756,"Tetraneuraakinirae",1,0
"3757",3757,"Tetranychuscinnabarinus",40,29
"3758",3758,"Tetranychuscinnabarinus",40,34
"3759",3759,"Tetranychuscinnabarinus",40,7
"3760",3760,"Tetranychuscinnabarinus",40,13
"3761",3761,"Tetranychuscinnabarinus",40,4
"3762",3762,"Tetranychusezoensis",1,0
"3763",3763,"Tetranychuskanzawai",75,22
"3764",3764,"Tetranychusludeni",4,0
"3765",3765,"Tetranychusneocaledonicus",1,0
"3766",3766,"Tetranychusparakanzawai",16,5
"3767",3767,"Tetranychusphaselus",1,0
"3768",3768,"Tetranychuspiercei",2,0
"3769",3769,"Tetranychuspueraricola",38,18
"3770",3770,"Tetranychustakafujii",1,0
"3771",3771,"Tetranychustruncates",40,35
"3772",3772,"Tetranychusturkestani",40,0
"3773",3773,"Tetranychusurticae",50,11
"3774",3774,"Tetranychusviennensis",40,40
"3775",3775,"Tetraopestetraopthalmus",1,0
"3776",3776,"Tetraponerapenzigi",1,1
"3777",3777,"Tetraponerasp.",1,0
"3778",3778,"Tetraponerasp.",1,0
"3779",3779,"Tetraponerasp.",1,0
"3780",3780,"Tetraponerasp.",1,0
"3781",3781,"Tetraponerasp.",1,1
"3782",3782,"Tetrapusamericanus",1,0
"3783",3783,"Tetrapusamericanus",1,0
"3784",3784,"Tetrapuscostaricanus",28,28
"3785",3785,"Tetrapuscostaricanus",28,28
"3786",3786,"Tetrapuscostaricensis",1,1
"3787",3787,"Tetrapusecuadoranus",1,0
"3788",3788,"Tetrapusecuadoranus",1,0
"3789",3789,"Tetrapussp.",1,0
"3790",3790,"Tetrapussp.",1,0
"3791",3791,"Tetrastichusschoenobii",2,0
"3792",3792,"Tetrodahisteroides",1,0
"3793",3793,"Tetrodatransversalis",8,0
"3794",3794,"Tettigideasp.",2,0
"3795",3795,"Teuchophoruscalcaratus",1,0
"3796",3796,"Teuchophoruscalcaratus",1,0
"3797",3797,"Teuchophorusclavigerellus",1,0
"3798",3798,"Teuchophorusmonacanthus",1,0
"3799",3799,"Teuchophorusnigricosta",1,0
"3800",3800,"Teuchophorussimplex",1,0
"3801",3801,"Teuchophorusspinigerellus",1,0
"3802",3802,"Thaiaoryzivora",45,0
"3803",3803,"Theclasp.",1,0
"3804",3804,"Thelaxessuberi",1,0
"3805",3805,"Theocolaxelegans",1,0
"3806",3806,"Theridionsp.",2,2
"3807",3807,"Therioaphistrifolli",1,0
"3808",3808,"Therionlongipes",1,0
"3809",3809,"Tholeracespitis",1,0
"3810",3810,"Tholymistillarga",1,0
"3811",3811,"Thomisuslabefactus",30,0
"3812",3812,"Thripstabaci",1,0
"3813",3813,"Thrypticussmaragdinus",1,0
"3814",3814,"Thrypticustarsalis",1,0
"3815",3815,"Thunbergiasanguinaria",1,0
"3816",3816,"Thyantapallidoventris",1,0
"3817",3817,"Thymelicuslineola",15,0
"3818",3818,"Thymelicussylvestris",23,22
"3819",3819,"Tidarrensp.",1,0
"3820",3820,"Timaspislampsanae",2,2
"3821",3821,"Tinocallissp.",1,0
"3822",3822,"Tipulaaino",17,14
"3823",3823,"Tipulaoleracea",13,0
